t,ap,cp,v
1738587359,76.37,76.42,1227011
1738587419,76.37,76.41,1228748
1738587479,76.37,76.46,1229492
1738587539,76.37,76.46,1230815
1738587599,76.37,76.50,1232389
1738587659,76.37,76.49,1233575
1738587719,76.37,76.50,1233896
1738587779,76.37,76.50,1234149
1738587838,76.37,76.71,1241907
1738587899,76.37,76.69,1243129
1738587959,76.37,76.52,1243847
1738588019,76.37,76.45,1244477
1738588079,76.37,76.53,1245402
1738588139,76.37,76.57,1245841
1738588198,76.37,76.67,1246484
1738588259,76.38,76.62,1248495
1738588319,76.38,76.64,1249889
1738588379,76.38,76.62,1250056
1738588439,76.38,76.75,1255614
1738588499,76.38,76.70,1255766
1738588559,76.38,76.68,1256380
1738588619,76.38,76.75,1257027
1738588679,76.38,76.71,1257070
1738588739,76.38,76.70,1257729
1738588799,76.38,76.65,1259908
1738588859,76.38,76.69,1260383
1738588919,76.38,76.66,1262111
1738588979,76.38,76.69,1262686
1738589039,76.38,76.70,1266115
1738589099,76.38,76.72,1266347
1738589159,76.38,76.66,1266609
1738589219,76.38,76.63,1267077
1738589279,76.38,76.73,1280503
1738589339,76.38,76.67,1281777
1738589399,76.38,76.77,1284273
1738589459,76.40,76.90,1334943
1738589519,76.40,76.85,1335764
1738589579,76.40,76.84,1335922
1738589639,76.40,76.82,1337736
1738589699,76.40,76.80,1338181
1738589759,76.41,77.00,1353158
1738589819,76.41,76.97,1354230
1738589879,76.41,76.97,1355095
1738589939,76.41,77.07,1358480
1738589999,76.41,77.03,1359108
1738590059,76.41,77.03,1359372
1738590119,76.41,77.04,1360803
1738590179,76.41,77.04,1360852
1738590239,76.41,77.01,1361246
1738590299,76.41,77.02,1362034
1738590359,76.41,76.99,1362150
1738590419,76.41,77.00,1362562
1738590479,76.41,77.00,1362829
1738590539,76.41,77.00,1363928
1738590599,76.41,77.01,1365197
1738590659,76.41,76.98,1365303
1738590719,76.41,76.86,1366219
1738590779,76.41,76.77,1366899
1738590839,76.41,76.81,1372282
1738590898,76.41,76.78,1373301
1738590959,76.42,76.85,1378584
1738591019,76.42,76.84,1379978
1738591079,76.42,76.85,1380494
1738591139,76.42,76.88,1381551
1738591199,76.42,76.82,1382137
1738591259,76.42,76.82,1383933
1738591319,76.42,76.82,1384052
1738591378,76.42,76.85,1384382
1738591439,76.42,76.82,1384550
1738591499,76.42,76.78,1385437
1738591559,76.42,76.80,1386067
1738591619,76.42,76.87,1388217
1738591679,76.42,76.85,1388548
1738591739,76.42,76.85,1408743
1738591799,76.42,76.84,1409051
1738591859,76.42,76.84,1410062
1738591919,76.42,76.84,1410187
1738591979,76.42,76.95,1412251
1738592039,76.43,76.85,1412576
1738592099,76.43,76.85,1413664
1738592159,76.43,76.93,1414070
1738592219,76.43,76.90,1415393
1738592279,76.43,76.92,1416674
1738592339,76.43,76.88,1416973
1738592399,76.43,76.89,1417677
1738592459,76.43,76.89,1419050
1738592519,76.43,76.80,1419689
1738592579,76.43,76.82,1419722
1738592639,76.43,76.75,1421900
1738592699,76.43,76.72,1422474
1738592759,76.43,76.78,1422687
1738592819,76.43,76.72,1422812
1738592879,76.43,76.57,1425158
1738592939,76.43,76.67,1427869
1738592999,76.43,76.66,1428164
1738593059,76.43,76.59,1428548
1738593119,76.43,76.57,1429405
1738593179,76.43,76.50,1430111
1738593239,76.43,76.63,1430522
1738593299,76.43,76.61,1430886
1738593359,76.43,76.60,1431023
1738593419,76.43,76.64,1433141
1738593479,76.43,76.71,1436359
1738593539,76.43,76.80,1437009
1738593599,76.43,76.78,1438943
1738593659,76.43,76.77,1439797
1738593719,76.43,76.75,1440544
1738593779,76.43,76.74,1441340
1738593839,76.43,76.78,1442473
1738593899,76.43,76.82,1443344
1738593959,76.43,76.77,1444401
1738594019,76.43,76.75,1445948
1738594079,76.43,76.75,1446267
1738594139,76.43,76.60,1447139
1738594199,76.43,76.58,1448346
1738594259,76.43,76.68,1448813
1738594319,76.43,76.80,1449721
1738594379,76.43,76.69,1449946
1738594439,76.43,76.77,1450261
1738594499,76.43,76.87,1451686
1738594559,76.43,76.82,1453324
1738594617,76.43,76.88,1455622
1738594677,76.43,76.85,1455939
1738594739,76.44,76.83,1458755
1738594799,76.44,76.86,1459471
1738594859,76.44,76.80,1462048
1738594919,76.44,76.88,1480240
1738594979,76.44,77.04,1488297
1738595039,76.44,76.96,1489307
1738595099,76.44,77.00,1489944
1738595159,76.44,76.96,1490851
1738595219,76.45,77.03,1493055
1738595279,76.45,77.10,1493594
1738595339,76.45,77.15,1496647
1738595399,76.45,77.13,1500569
1738595459,76.45,77.20,1506071
1738595519,76.45,77.12,1507176
1738595579,76.45,77.08,1507964
1738595639,76.45,77.12,1510815
1738595699,76.45,77.20,1511358
1738595759,76.46,77.15,1527889
1738595819,76.46,77.12,1530810
1738595879,76.46,77.08,1537369
1738595939,76.47,77.11,1539218
1738595999,76.47,77.14,1542075
1738596059,76.47,76.98,1547729
1738596119,76.47,76.93,1550631
1738596179,76.48,76.52,1608370
1738596239,76.49,76.42,1705018
1738596299,76.50,76.82,1741414
1738596359,76.50,76.79,1741998
1738596419,76.50,76.87,1743787
1738596479,76.50,76.82,1744829
1738596539,76.50,77.00,1772043
1738596599,76.50,77.23,1787132
1738596601,76.50,77.23,1787132
1738596673,76.50,77.23,1787132
1738597076,76.50,77.23,1787132
1738597259,76.50,76.80,1787143
1738597286,76.50,76.80,1787153
1738597328,76.50,76.80,1787153
1738597422,76.50,76.80,1787153
1738597458,76.50,76.80,1787153
1738597549,76.50,76.80,1787153
1738597611,76.50,76.80,1787253
1738597740,76.50,76.80,1787253
1738597845,76.50,76.80,1787253
1738598030,76.50,76.80,1787253
1738598208,76.50,76.80,1787260
1738598226,76.50,76.80,1787260
1738598324,76.50,76.80,1787260
1738598401,76.50,76.80,1787260
1738598486,76.50,76.80,1787260
1738573634,77.25,77.25,16462
1738573740,77.25,77.25,16462
1738573864,77.25,77.25,16462
1738573961,77.25,77.25,16462
1738573999,77.25,77.25,16462
1738574085,77.25,77.25,16462
1738574159,77.14,76.98,71422
1738574219,77.10,76.60,85885
1738574279,77.07,76.85,94616
1738574339,76.97,76.40,114841
1738574399,76.93,76.65,129708
1738574459,76.90,76.49,138363
1738574519,76.89,76.54,144033
1738574578,76.88,76.73,148548
1738574639,76.87,76.60,156256
1738574699,76.86,76.64,162572
1738574759,76.84,76.79,174773
1738574819,76.85,77.18,189567
1738574879,76.86,77.27,195885
1738574939,76.87,76.95,202408
1738574999,76.87,77.00,205069
1738575059,76.87,77.00,208442
1738575119,76.87,76.97,217576
1738575179,76.88,76.91,226709
1738575239,76.88,76.93,227497
1738575299,76.88,76.80,230745
1738575359,76.88,76.70,234278
1738575419,76.87,76.56,239442
1738575479,76.86,76.48,244687
1738575539,76.84,76.28,255640
1738575599,76.83,76.23,260068
1738575659,76.82,76.50,264748
1738575719,76.81,76.50,269602
1738575779,76.78,76.38,289967
1738575839,76.78,76.33,294183
1738575899,76.76,76.16,307882
1738575959,76.74,76.11,316887
1738576019,76.71,76.16,332258
1738576079,76.67,75.98,352459
1738576139,76.65,75.83,363413
1738576199,76.62,75.52,371936
1738576259,76.61,75.76,376748
1738576319,76.60,75.74,379050
1738576379,76.58,75.37,387803
1738576439,76.56,75.36,392883
1738576499,76.53,75.28,403634
1738576559,76.49,75.11,417533
1738576619,76.38,75.13,449888
1738576679,76.35,74.90,462136
1738576739,76.31,74.75,474025
1738576799,76.30,74.91,477631
1738576859,76.24,74.66,495865
1738576919,76.22,74.93,502821
1738576979,76.18,74.69,518712
1738577039,76.17,74.82,521603
1738577099,76.16,74.75,525137
1738577159,76.14,74.94,531595
1738577219,76.11,75.07,547997
1738577279,76.10,75.57,555915
1738577339,76.10,75.63,558654
1738577399,76.09,75.63,564225
1738577459,76.09,76.05,584463
1738577519,76.09,76.26,592442
1738577579,76.09,76.34,598768
1738577639,76.09,76.31,601700
1738577699,76.09,76.30,603287
1738577759,76.09,76.06,604754
1738577819,76.09,76.00,609181
1738577879,76.09,76.18,612799
1738577939,76.09,75.95,614968
1738577999,76.09,76.09,617918
1738578059,76.09,76.05,620982
1738578119,76.09,76.13,623765
1738578179,76.09,76.01,628777
1738578239,76.09,76.07,629759
1738578299,76.09,75.99,632282
1738578359,76.09,76.11,632661
1738578419,76.09,75.99,633061
1738578479,76.09,76.11,638554
1738578539,76.09,76.15,638993
1738578599,76.09,76.19,643665
1738578659,76.09,76.20,647459
1738578719,76.09,76.30,655756
1738578779,76.09,76.11,660347
1738578839,76.09,76.12,660630
1738578899,76.09,76.10,661571
1738578959,76.09,76.17,662793
1738579019,76.09,76.10,665724
1738579079,76.09,76.24,667816
1738579139,76.09,76.06,669757
1738579199,76.09,76.13,670522
1738579259,76.09,76.22,671366
1738579319,76.09,76.36,672964
1738579379,76.09,76.45,675134
1738579439,76.10,76.50,682876
1738579499,76.10,76.49,686180
1738579559,76.10,76.55,687575
1738579618,76.10,76.59,688421
1738579679,76.10,76.63,689677
1738579739,76.10,76.56,690588
1738579799,76.10,76.42,693342
1738579859,76.11,76.40,714266
1738579919,76.11,76.49,718515
1738579979,76.11,76.44,719013
1738580039,76.11,76.43,720025
1738580099,76.11,76.48,721476
1738580159,76.12,76.51,727333
1738580219,76.12,76.59,728064
1738580279,76.12,76.58,728192
1738580339,76.12,76.65,729124
1738580399,76.12,76.69,731135
1738580459,76.12,76.70,732464
1738580519,76.12,76.80,735633
1738580578,76.12,76.70,736415
1738580639,76.13,76.77,743096
1738580699,76.13,76.71,743296
1738580759,76.13,76.75,743642
1738580819,76.13,76.79,747256
1738580879,76.13,76.80,748553
1738580939,76.13,76.84,748950
1738580999,76.13,76.83,750000
1738581059,76.14,76.90,758374
1738581119,76.14,76.86,758594
1738581179,76.15,76.75,764358
1738581239,76.15,76.72,764373
1738581299,76.15,76.76,765130
1738581359,76.15,76.87,766738
1738581419,76.15,76.99,771603
1738581479,76.19,77.15,809545
1738581539,76.20,76.94,818793
1738581599,76.21,77.07,824669
1738581659,76.21,77.00,825216
1738581719,76.22,77.00,838992
1738581779,76.22,76.90,839558
1738581839,76.23,76.77,845161
1738581899,76.23,76.75,848164
1738581959,76.23,76.71,849372
1738582019,76.23,76.77,851891
1738582079,76.23,76.69,853391
1738582139,76.23,76.59,855050
1738582199,76.23,76.52,855746
1738582259,76.23,76.59,856767
1738582319,76.23,76.53,857357
1738582379,76.23,76.60,857741
1738582439,76.23,76.55,859150
1738582499,76.23,76.54,859984
1738582559,76.24,76.64,873601
1738582619,76.24,76.58,875853
1738582679,76.24,76.57,876142
1738582739,76.24,76.50,876632
1738582799,76.24,76.43,877576
1738582859,76.24,76.47,877878
1738582919,76.24,76.37,879052
1738582979,76.24,76.38,879083
1738583039,76.24,76.39,885678
1738583099,76.24,76.39,888523
1738583159,76.24,76.34,889091
1738583219,76.24,76.39,889471
1738583279,76.24,76.59,891655
1738583339,76.24,76.74,894780
1738583399,76.25,76.70,897052
1738583459,76.25,76.70,898238
1738583519,76.25,76.70,899482
1738583579,76.25,76.67,899899
1738583639,76.25,76.61,900273
1738583699,76.25,76.71,901498
1738583759,76.25,76.69,902063
1738583819,76.25,76.75,902412
1738583879,76.25,76.68,902766
1738583938,76.25,76.74,904481
1738583999,76.25,76.75,904797
1738584059,76.26,76.85,916620
1738584119,76.26,76.76,917413
1738584179,76.26,76.79,918123
1738584239,76.26,76.72,918294
1738584299,76.26,76.78,918822
1738584359,76.26,76.70,919075
1738584419,76.26,76.71,920932
1738584479,76.31,76.76,1022053
1738584539,76.34,76.70,1077236
1738584599,76.34,76.72,1081158
1738584659,76.34,76.72,1082347
1738584719,76.34,76.77,1082604
1738584779,76.34,76.63,1084013
1738584838,76.34,76.70,1085374
1738584899,76.34,76.67,1085618
1738584959,76.34,76.65,1085701
1738585019,76.34,76.74,1086358
1738585079,76.34,76.66,1088786
1738585139,76.34,76.60,1091959
1738585199,76.34,76.56,1094028
1738585259,76.34,76.58,1094740
1738585319,76.34,76.56,1096439
1738585379,76.34,76.63,1097264
1738585439,76.34,76.56,1098493
1738585499,76.34,76.43,1104594
1738585559,76.34,76.59,1106237
1738585619,76.34,76.66,1108492
1738585679,76.34,76.65,1108968
1738585739,76.36,76.62,1160466
1738585799,76.36,76.72,1161570
1738585858,76.36,76.78,1165488
1738585919,76.36,76.75,1165815
1738585979,76.36,76.72,1167009
1738586039,76.36,76.72,1167596
1738586099,76.36,76.66,1168665
1738586159,76.36,76.70,1169828
1738586219,76.36,76.70,1170241
1738586279,76.36,76.67,1170841
1738586339,76.36,76.72,1173489
1738586399,76.37,76.73,1174645
1738586458,76.37,76.70,1175232
1738586519,76.37,76.75,1175300
1738586579,76.37,76.51,1185224
1738586639,76.37,76.56,1207912
1738586699,76.37,76.67,1217416
1738586759,76.37,76.56,1218222
1738586819,76.37,76.61,1218481
1738586879,76.37,76.62,1218565
1738586939,76.37,76.60,1218758
1738586999,76.37,76.56,1219395
1738587059,76.37,76.48,1221305
1738587119,76.37,76.48,1221522
1738587179,76.37,76.40,1222487
1738587239,76.37,76.37,1224433
1738587299,76.37,76.43,1225317
1738587359,76.37,76.42,1227011
1738587419,76.37,76.41,1228748
1738587479,76.37,76.46,1229492
1738587539,76.37,76.46,1230815
1738587599,76.37,76.50,1232389
1738587659,76.37,76.49,1233575
1738587719,76.37,76.50,1233896
1738587779,76.37,76.50,1234149
1738587838,76.37,76.71,1241907
1738587899,76.37,76.69,1243129
1738587959,76.37,76.52,1243847
1738588019,76.37,76.45,1244477
1738588079,76.37,76.53,1245402
1738588139,76.37,76.57,1245841
1738588198,76.37,76.67,1246484
1738588259,76.38,76.62,1248495
1738588319,76.38,76.64,1249889
1738588379,76.38,76.62,1250056
1738588439,76.38,76.75,1255614
1738588499,76.38,76.70,1255766
1738588559,76.38,76.68,1256380
1738588619,76.38,76.75,1257027
1738588679,76.38,76.71,1257070
1738588739,76.38,76.70,1257729
1738588799,76.38,76.65,1259908
1738588859,76.38,76.69,1260383
1738588919,76.38,76.66,1262111
1738588979,76.38,76.69,1262686
1738589039,76.38,76.70,1266115
1738589099,76.38,76.72,1266347
1738589159,76.38,76.66,1266609
1738589219,76.38,76.63,1267077
1738589279,76.38,76.73,1280503
1738589339,76.38,76.67,1281777
1738589399,76.38,76.77,1284273
1738589459,76.40,76.90,1334943
1738589519,76.40,76.85,1335764
1738589579,76.40,76.84,1335922
1738589639,76.40,76.82,1337736
1738589699,76.40,76.80,1338181
1738589759,76.41,77.00,1353158
1738589819,76.41,76.97,1354230
1738589879,76.41,76.97,1355095
1738589939,76.41,77.07,1358480
1738589999,76.41,77.03,1359108
1738590059,76.41,77.03,1359372
1738590119,76.41,77.04,1360803
1738590179,76.41,77.04,1360852
1738590239,76.41,77.01,1361246
1738590299,76.41,77.02,1362034
1738590359,76.41,76.99,1362150
1738590419,76.41,77.00,1362562
1738590479,76.41,77.00,1362829
1738590539,76.41,77.00,1363928
1738590599,76.41,77.01,1365197
1738590659,76.41,76.98,1365303
1738590719,76.41,76.86,1366219
1738590779,76.41,76.77,1366899
1738590839,76.41,76.81,1372282
1738590898,76.41,76.78,1373301
1738590959,76.42,76.85,1378584
1738591019,76.42,76.84,1379978
1738591079,76.42,76.85,1380494
1738591139,76.42,76.88,1381551
1738591199,76.42,76.82,1382137
1738591259,76.42,76.82,1383933
1738591319,76.42,76.82,1384052
1738591378,76.42,76.85,1384382
1738591439,76.42,76.82,1384550
1738591499,76.42,76.78,1385437
1738591559,76.42,76.80,1386067
1738591619,76.42,76.87,1388217
1738591679,76.42,76.85,1388548
1738591739,76.42,76.85,1408743
1738591799,76.42,76.84,1409051
1738591859,76.42,76.84,1410062
1738591919,76.42,76.84,1410187
1738591979,76.42,76.95,1412251
1738592039,76.43,76.85,1412576
1738592099,76.43,76.85,1413664
1738592159,76.43,76.93,1414070
1738592219,76.43,76.90,1415393
1738592279,76.43,76.92,1416674
1738592339,76.43,76.88,1416973
1738592399,76.43,76.89,1417677
1738592459,76.43,76.89,1419050
1738592519,76.43,76.80,1419689
1738592579,76.43,76.82,1419722
1738592639,76.43,76.75,1421900
1738592699,76.43,76.72,1422474
1738592759,76.43,76.78,1422687
1738592819,76.43,76.72,1422812
1738592879,76.43,76.57,1425158
1738592939,76.43,76.67,1427869
1738592999,76.43,76.66,1428164
1738593059,76.43,76.59,1428548
1738593119,76.43,76.57,1429405
1738593179,76.43,76.50,1430111
1738593239,76.43,76.63,1430522
1738593299,76.43,76.61,1430886
1738593359,76.43,76.60,1431023
1738593419,76.43,76.64,1433141
1738593479,76.43,76.71,1436359
1738593539,76.43,76.80,1437009
1738593599,76.43,76.78,1438943
1738593659,76.43,76.77,1439797
1738593719,76.43,76.75,1440544
1738593779,76.43,76.74,1441340
1738593839,76.43,76.78,1442473
1738593899,76.43,76.82,1443344
1738593959,76.43,76.77,1444401
1738594019,76.43,76.75,1445948
1738594079,76.43,76.75,1446267
1738594139,76.43,76.60,1447139
1738594199,76.43,76.58,1448346
1738594259,76.43,76.68,1448813
1738594319,76.43,76.80,1449721
1738594379,76.43,76.69,1449946
1738594439,76.43,76.77,1450261
1738594499,76.43,76.87,1451686
1738594559,76.43,76.82,1453324
1738594617,76.43,76.88,1455622
1738594677,76.43,76.85,1455939
1738594739,76.44,76.83,1458755
1738594799,76.44,76.86,1459471
1738594859,76.44,76.80,1462048
1738594919,76.44,76.88,1480240
1738594979,76.44,77.04,1488297
1738595039,76.44,76.96,1489307
1738595099,76.44,77.00,1489944
1738595159,76.44,76.96,1490851
1738595219,76.45,77.03,1493055
1738595279,76.45,77.10,1493594
1738595339,76.45,77.15,1496647
1738595399,76.45,77.13,1500569
1738595459,76.45,77.20,1506071
1738595519,76.45,77.12,1507176
1738595579,76.45,77.08,1507964
1738595639,76.45,77.12,1510815
1738595699,76.45,77.20,1511358
1738595759,76.46,77.15,1527889
1738595819,76.46,77.12,1530810
1738595879,76.46,77.08,1537369
1738595939,76.47,77.11,1539218
1738595999,76.47,77.14,1542075
1738596059,76.47,76.98,1547729
1738596119,76.47,76.93,1550631
1738596179,76.48,76.52,1608370
1738596239,76.49,76.42,1705018
1738596299,76.50,76.82,1741414
1738596359,76.50,76.79,1741998
1738596419,76.50,76.87,1743787
1738596479,76.50,76.82,1744829
1738596539,76.50,77.00,1772043
1738596599,76.50,77.23,1787132
1738596601,76.50,77.23,1787132
1738596673,76.50,77.23,1787132
1738597076,76.50,77.23,1787132
1738597259,76.50,76.80,1787143
1738597286,76.50,76.80,1787153
1738597328,76.50,76.80,1787153
1738597422,76.50,76.80,1787153
1738597458,76.50,76.80,1787153
1738597549,76.50,76.80,1787153
1738597611,76.50,76.80,1787253
1738597740,76.50,76.80,1787253
1738597845,76.50,76.80,1787253
1738598030,76.50,76.80,1787253
1738598208,76.50,76.80,1787260
1738598226,76.50,76.80,1787260
1738598324,76.50,76.80,1787260
1738598401,76.50,76.80,1787260
1738598486,76.50,76.80,1787260
