t,ap,cp,v
1738588259,3612.73,3581.75,605
1738588319,3612.73,3581.75,605
1738588379,3612.73,3581.75,605
1738588439,3612.73,3581.75,605
1738588498,3612.73,3581.75,605
1738588559,3612.73,3581.75,605
1738588613,3612.73,3581.75,605
1738588679,3612.73,3581.75,605
1738588739,3612.73,3581.75,605
1738588799,3612.73,3581.75,605
1738588858,3612.73,3581.75,605
1738588919,3612.73,3581.75,605
1738588977,3612.73,3581.75,605
1738589039,3612.73,3581.75,605
1738589099,3612.73,3581.75,605
1738589159,3612.73,3581.75,605
1738589219,3612.73,3581.75,605
1738589278,3612.73,3581.75,605
1738589339,3612.73,3581.75,605
1738589397,3612.73,3581.75,605
1738589457,3612.60,3594.60,609
1738589519,3612.60,3594.60,609
1738589579,3612.60,3594.60,609
1738589636,3612.60,3594.60,609
1738589691,3612.57,3594.95,610
1738589758,3612.57,3594.95,610
1738589815,3612.57,3594.95,610
1738589879,3612.57,3594.95,610
1738589938,3612.57,3594.95,610
1738589999,3611.81,3580.80,625
1738590059,3611.81,3580.80,625
1738590116,3611.81,3580.80,625
1738590174,3611.81,3580.80,625
1738590238,3611.81,3580.80,625
1738590297,3611.81,3580.80,625
1738590358,3611.81,3580.80,625
1738590419,3611.81,3580.80,625
1738590469,3611.67,3570.00,627
1738590538,3611.67,3570.00,627
1738590599,3611.67,3570.00,627
1738590658,3611.67,3570.00,627
1738590709,3611.67,3570.00,627
1738590778,3611.67,3570.00,627
1738590839,3611.67,3570.00,627
1738590899,3611.67,3570.00,627
1738590958,3611.67,3570.00,627
1738591016,3611.67,3570.00,627
1738591074,3611.67,3570.00,627
1738591125,3611.67,3570.00,627
1738591188,3611.67,3570.00,627
1738591259,3611.67,3570.00,627
1738591318,3611.67,3570.00,627
1738591379,3611.67,3570.00,627
1738591435,3611.67,3570.00,627
1738591494,3611.67,3570.00,627
1738591558,3611.67,3570.00,627
1738591610,3611.67,3570.00,627
1738591679,3611.67,3570.00,627
1738591738,3611.67,3570.00,627
1738591795,3611.67,3570.00,627
1738591859,3611.67,3570.00,627
1738591918,3611.67,3570.00,627
1738591976,3611.67,3570.00,627
1738592039,3611.67,3570.00,627
1738592098,3611.67,3570.00,627
1738592157,3611.67,3570.00,627
1738592219,3611.67,3570.00,627
1738592275,3611.67,3570.00,627
1738592336,3611.67,3570.00,627
1738592398,3611.67,3570.00,627
1738592456,3611.28,3580.00,635
1738592515,3611.28,3580.00,635
1738592579,3611.28,3580.00,635
1738592636,3611.28,3580.00,635
1738592698,3611.28,3580.00,635
1738592757,3611.28,3580.00,635
1738592813,3611.28,3580.00,635
1738592879,3611.28,3580.00,635
1738592936,3611.28,3580.00,635
1738592996,3611.28,3580.00,635
1738593039,3611.28,3580.00,635
1738593118,3611.28,3580.00,635
1738593178,3611.21,3570.05,636
1738593239,3610.27,3582.10,657
1738593293,3610.27,3582.10,657
1738593356,3610.27,3582.10,657
1738593395,3610.27,3582.10,657
1738593475,3610.27,3582.10,657
1738593539,3610.27,3582.10,657
1738593595,3610.27,3582.10,657
1738593654,3610.09,3571.35,660
1738593718,3610.00,3580.00,662
1738593779,3610.00,3580.00,662
1738593839,3610.00,3580.00,662
1738593885,3610.00,3580.00,662
1738593950,3609.96,3584.80,663
1738594012,3609.96,3584.80,663
1738594069,3609.96,3584.80,663
1738594139,3609.96,3584.80,663
1738594182,3609.96,3584.80,663
1738594255,3609.96,3584.80,663
1738594316,3609.96,3584.80,663
1738594374,3609.96,3584.80,663
1738594435,3609.96,3584.80,663
1738594499,3609.87,3579.90,665
1738594559,3609.87,3579.90,665
1738594612,3609.87,3579.90,665
1738594678,3608.66,3579.90,693
1738594730,3608.66,3579.90,693
1738594785,3608.66,3579.90,693
1738594856,3608.63,3584.95,694
1738594917,3608.63,3584.95,694
1738594979,3608.63,3584.95,694
1738595039,3608.63,3584.95,694
1738595093,3608.63,3584.95,694
1738595159,3608.63,3584.95,694
1738595218,3608.63,3584.95,694
1738595270,3608.63,3584.95,694
1738595339,3608.63,3584.95,694
1738595398,3608.39,3571.55,700
1738595456,3608.39,3571.55,700
1738595517,3608.39,3571.55,700
1738595573,3608.39,3571.55,700
1738595638,3608.39,3571.55,700
1738595699,3606.92,3567.75,727
1738595755,3606.92,3567.75,727
1738595815,3606.92,3567.75,727
1738595877,3606.92,3567.75,727
1738595898,3606.92,3567.75,727
1738595991,3606.92,3567.75,727
1738596059,3606.92,3567.75,727
1738596110,3606.92,3567.75,727
1738596177,3606.92,3567.75,727
1738596238,3606.33,3573.35,740
1738596296,3606.00,3578.70,749
1738596358,3606.00,3578.70,749
1738596411,3606.00,3578.70,749
1738596477,3606.00,3578.70,749
1738596512,3605.89,3566.25,751
1738596594,3605.82,3578.70,753
1738596602,3605.82,3578.70,753
1738596676,3605.82,3578.70,753
1738597240,3605.82,3578.70,753
1738597665,3605.82,3578.70,753
1738598401,3605.82,3578.70,753
1738598487,3605.82,3578.70,753
1738573635,3740.00,3740.00,1
1738573731,3740.00,3740.00,1
1738573741,3740.00,3740.00,1
1738574158,3740.00,3740.00,1
1738574219,3660.00,3652.25,16
1738574276,3660.00,3652.25,16
1738574339,3662.48,3682.70,52
1738574397,3665.60,3682.75,78
1738574459,3665.60,3682.75,78
1738574518,3665.60,3682.75,78
1738574579,3665.60,3682.75,78
1738574638,3665.60,3682.75,78
1738574699,3666.29,3673.70,89
1738574758,3666.29,3673.70,89
1738574819,3666.29,3673.70,89
1738574879,3669.55,3682.75,111
1738574936,3669.55,3682.75,111
1738574990,3669.55,3682.75,111
1738575057,3671.31,3681.40,127
1738575118,3673.87,3685.40,162
1738575179,3673.87,3685.40,162
1738575239,3673.87,3685.40,162
1738575299,3673.87,3685.40,162
1738575358,3673.87,3685.40,162
1738575419,3673.19,3661.35,172
1738575473,3673.19,3661.35,172
1738575538,3673.09,3660.00,174
1738575598,3673.01,3666.45,176
1738575659,3673.01,3666.45,176
1738575719,3673.01,3666.45,176
1738575778,3672.93,3670.15,181
1738575839,3671.70,3661.20,206
1738575899,3671.70,3661.20,206
1738575959,3671.70,3661.20,206
1738576019,3671.67,3670.15,210
1738576078,3671.61,3660.10,211
1738576138,3671.61,3660.10,211
1738576199,3671.61,3660.10,211
1738576257,3671.61,3660.10,211
1738576318,3671.61,3660.10,211
1738576379,3671.45,3654.10,213
1738576439,3670.49,3652.15,224
1738576493,3670.35,3650.10,226
1738576559,3670.25,3648.50,227
1738576618,3668.98,3641.15,237
1738576678,3668.07,3625.05,243
1738576739,3668.07,3625.05,243
1738576799,3665.89,3628.75,257
1738576859,3665.89,3628.75,257
1738576919,3665.89,3628.75,257
1738576978,3665.89,3628.75,257
1738577032,3664.20,3610.05,265
1738577096,3663.87,3620.05,267
1738577158,3663.52,3616.25,269
1738577219,3663.52,3616.25,269
1738577279,3661.71,3628.00,283
1738577339,3661.71,3628.00,283
1738577399,3661.71,3628.00,283
1738577458,3659.76,3617.95,296
1738577519,3659.64,3621.30,297
1738577579,3659.64,3621.30,297
1738577639,3659.64,3621.30,297
1738577699,3659.64,3621.30,297
1738577751,3659.64,3621.30,297
1738577819,3659.64,3621.30,297
1738577872,3659.46,3608.00,298
1738577938,3659.46,3608.00,298
1738577999,3659.46,3608.00,298
1738578059,3659.07,3600.10,300
1738578119,3659.07,3600.10,300
1738578173,3659.07,3600.10,300
1738578239,3657.42,3608.95,310
1738578298,3657.42,3608.95,310
1738578358,3657.42,3608.95,310
1738578418,3655.40,3598.25,321
1738578478,3654.97,3586.05,323
1738578539,3654.76,3586.00,324
1738578598,3654.76,3586.00,324
1738578659,3654.76,3586.00,324
1738578716,3654.76,3586.00,324
1738578778,3654.76,3586.00,324
1738578839,3654.76,3586.00,324
1738578897,3654.76,3586.00,324
1738578959,3653.23,3599.30,332
1738579019,3651.39,3590.95,342
1738579074,3651.39,3590.95,342
1738579139,3651.39,3590.95,342
1738579184,3651.39,3590.95,342
1738579258,3651.39,3590.95,342
1738579319,3650.94,3571.30,344
1738579379,3650.94,3571.30,344
1738579439,3650.94,3571.30,344
1738579499,3650.94,3571.30,344
1738579559,3650.94,3571.30,344
1738579619,3650.94,3571.30,344
1738579679,3650.94,3571.30,344
1738579739,3650.94,3571.30,344
1738579799,3650.74,3580.35,345
1738579858,3650.74,3580.35,345
1738579916,3650.74,3580.35,345
1738579973,3647.77,3571.00,359
1738580039,3647.77,3571.00,359
1738580098,3647.77,3571.00,359
1738580158,3647.77,3571.00,359
1738580217,3647.77,3571.00,359
1738580279,3647.77,3571.00,359
1738580338,3647.77,3571.00,359
1738580397,3647.77,3571.00,359
1738580459,3647.77,3571.00,359
1738580516,3647.77,3571.00,359
1738580578,3646.60,3594.65,367
1738580627,3646.60,3594.65,367
1738580699,3646.60,3594.65,367
1738580759,3646.60,3594.65,367
1738580818,3646.60,3594.65,367
1738580877,3646.60,3594.65,367
1738580937,3646.60,3594.65,367
1738580999,3646.60,3594.65,367
1738581059,3644.78,3576.65,377
1738581119,3644.58,3571.00,378
1738581164,3644.58,3571.00,378
1738581237,3644.58,3571.00,378
1738581298,3643.87,3576.65,382
1738581359,3643.87,3576.65,382
1738581418,3643.87,3576.65,382
1738581478,3643.87,3576.65,382
1738581538,3643.73,3590.05,383
1738581594,3643.73,3590.05,383
1738581656,3643.73,3590.05,383
1738581713,3643.73,3590.05,383
1738581779,3643.45,3589.90,385
1738581838,3643.31,3589.90,386
1738581896,3643.04,3589.95,388
1738581956,3643.04,3589.95,388
1738582016,3639.86,3579.95,408
1738582077,3639.86,3579.95,408
1738582139,3639.86,3579.95,408
1738582196,3639.86,3579.95,408
1738582259,3639.86,3579.95,408
1738582318,3639.86,3579.95,408
1738582379,3639.86,3579.95,408
1738582438,3639.69,3571.05,409
1738582499,3639.53,3571.00,410
1738582559,3639.53,3571.00,410
1738582619,3639.53,3571.00,410
1738582679,3638.80,3564.45,414
1738582739,3638.80,3564.45,414
1738582798,3638.80,3564.45,414
1738582858,3638.80,3564.45,414
1738582919,3638.61,3557.00,415
1738582979,3638.61,3557.00,415
1738583039,3638.61,3557.00,415
1738583099,3638.61,3557.00,415
1738583159,3638.61,3557.00,415
1738583218,3638.61,3557.00,415
1738583279,3638.61,3557.00,415
1738583339,3638.61,3557.00,415
1738583399,3638.61,3557.00,415
1738583455,3638.61,3557.00,415
1738583519,3638.61,3557.00,415
1738583579,3638.61,3557.00,415
1738583637,3638.61,3557.00,415
1738583696,3638.61,3557.00,415
1738583757,3638.41,3556.05,416
1738583808,3638.41,3556.05,416
1738583874,3638.41,3556.05,416
1738583939,3638.41,3556.05,416
1738583996,3638.41,3556.05,416
1738584056,3638.41,3556.05,416
1738584119,3638.03,3559.90,418
1738584173,3638.03,3559.90,418
1738584239,3636.21,3551.45,427
1738584297,3636.21,3551.45,427
1738584355,3636.21,3551.45,427
1738584419,3636.21,3551.45,427
1738584478,3635.21,3550.00,432
1738584539,3635.21,3550.00,432
1738584598,3635.21,3550.00,432
1738584659,3635.21,3550.00,432
1738584718,3635.21,3550.00,432
1738584776,3635.21,3550.00,432
1738584839,3635.21,3550.00,432
1738584896,3635.21,3550.00,432
1738584959,3635.21,3550.00,432
1738585019,3635.21,3550.00,432
1738585073,3635.21,3550.00,432
1738585123,3635.21,3550.00,432
1738585199,3635.21,3550.00,432
1738585257,3635.21,3550.00,432
1738585319,3635.21,3550.00,432
1738585379,3635.21,3550.00,432
1738585434,3635.21,3550.00,432
1738585499,3635.21,3550.00,432
1738585554,3634.05,3551.35,438
1738585594,3634.05,3551.35,438
1738585675,3634.05,3551.35,438
1738585738,3634.05,3551.35,438
1738585795,3630.93,3539.35,453
1738585858,3630.93,3539.35,453
1738585918,3630.93,3539.35,453
1738585969,3630.93,3539.35,453
1738586039,3630.93,3539.35,453
1738586099,3630.93,3539.35,453
1738586159,3630.93,3539.35,453
1738586210,3630.93,3539.35,453
1738586269,3630.93,3539.35,453
1738586338,3630.93,3539.35,453
1738586399,3630.93,3539.35,453
1738586459,3630.93,3539.35,453
1738586519,3630.32,3536.00,456
1738586579,3630.32,3536.00,456
1738586637,3630.32,3536.00,456
1738586697,3630.32,3536.00,456
1738586753,3630.12,3539.65,457
1738586818,3630.12,3539.65,457
1738586874,3629.90,3530.00,458
1738586937,3629.90,3530.00,458
1738586951,3629.90,3530.00,458
1738587057,3629.90,3530.00,458
1738587118,3629.90,3530.00,458
1738587161,3629.90,3530.00,458
1738587239,3629.90,3530.00,458
1738587299,3629.90,3530.00,458
1738587355,3626.57,3524.70,473
1738587419,3626.57,3524.70,473
1738587478,3626.57,3524.70,473
1738587528,3626.57,3524.70,473
1738587599,3626.57,3524.70,473
1738587659,3626.57,3524.70,473
1738587719,3624.88,3521.00,481
1738587779,3620.57,3536.95,506
1738587839,3620.57,3536.95,506
1738587899,3613.25,3591.50,595
1738587958,3613.25,3591.50,595
1738588018,3613.25,3591.50,595
1738588078,3612.73,3581.75,605
1738588139,3612.73,3581.75,605
1738588198,3612.73,3581.75,605
1738588259,3612.73,3581.75,605
1738588319,3612.73,3581.75,605
1738588379,3612.73,3581.75,605
1738588439,3612.73,3581.75,605
1738588498,3612.73,3581.75,605
1738588559,3612.73,3581.75,605
1738588613,3612.73,3581.75,605
1738588679,3612.73,3581.75,605
1738588739,3612.73,3581.75,605
1738588799,3612.73,3581.75,605
1738588858,3612.73,3581.75,605
1738588919,3612.73,3581.75,605
1738588977,3612.73,3581.75,605
1738589039,3612.73,3581.75,605
1738589099,3612.73,3581.75,605
1738589159,3612.73,3581.75,605
1738589219,3612.73,3581.75,605
1738589278,3612.73,3581.75,605
1738589339,3612.73,3581.75,605
1738589397,3612.73,3581.75,605
1738589457,3612.60,3594.60,609
1738589519,3612.60,3594.60,609
1738589579,3612.60,3594.60,609
1738589636,3612.60,3594.60,609
1738589691,3612.57,3594.95,610
1738589758,3612.57,3594.95,610
1738589815,3612.57,3594.95,610
1738589879,3612.57,3594.95,610
1738589938,3612.57,3594.95,610
1738589999,3611.81,3580.80,625
1738590059,3611.81,3580.80,625
1738590116,3611.81,3580.80,625
1738590174,3611.81,3580.80,625
1738590238,3611.81,3580.80,625
1738590297,3611.81,3580.80,625
1738590358,3611.81,3580.80,625
1738590419,3611.81,3580.80,625
1738590469,3611.67,3570.00,627
1738590538,3611.67,3570.00,627
1738590599,3611.67,3570.00,627
1738590658,3611.67,3570.00,627
1738590709,3611.67,3570.00,627
1738590778,3611.67,3570.00,627
1738590839,3611.67,3570.00,627
1738590899,3611.67,3570.00,627
1738590958,3611.67,3570.00,627
1738591016,3611.67,3570.00,627
1738591074,3611.67,3570.00,627
1738591125,3611.67,3570.00,627
1738591188,3611.67,3570.00,627
1738591259,3611.67,3570.00,627
1738591318,3611.67,3570.00,627
1738591379,3611.67,3570.00,627
1738591435,3611.67,3570.00,627
1738591494,3611.67,3570.00,627
1738591558,3611.67,3570.00,627
1738591610,3611.67,3570.00,627
1738591679,3611.67,3570.00,627
1738591738,3611.67,3570.00,627
1738591795,3611.67,3570.00,627
1738591859,3611.67,3570.00,627
1738591918,3611.67,3570.00,627
1738591976,3611.67,3570.00,627
1738592039,3611.67,3570.00,627
1738592098,3611.67,3570.00,627
1738592157,3611.67,3570.00,627
1738592219,3611.67,3570.00,627
1738592275,3611.67,3570.00,627
1738592336,3611.67,3570.00,627
1738592398,3611.67,3570.00,627
1738592456,3611.28,3580.00,635
1738592515,3611.28,3580.00,635
1738592579,3611.28,3580.00,635
1738592636,3611.28,3580.00,635
1738592698,3611.28,3580.00,635
1738592757,3611.28,3580.00,635
1738592813,3611.28,3580.00,635
1738592879,3611.28,3580.00,635
1738592936,3611.28,3580.00,635
1738592996,3611.28,3580.00,635
1738593039,3611.28,3580.00,635
1738593118,3611.28,3580.00,635
1738593178,3611.21,3570.05,636
1738593239,3610.27,3582.10,657
1738593293,3610.27,3582.10,657
1738593356,3610.27,3582.10,657
1738593395,3610.27,3582.10,657
1738593475,3610.27,3582.10,657
1738593539,3610.27,3582.10,657
1738593595,3610.27,3582.10,657
1738593654,3610.09,3571.35,660
1738593718,3610.00,3580.00,662
1738593779,3610.00,3580.00,662
1738593839,3610.00,3580.00,662
1738593885,3610.00,3580.00,662
1738593950,3609.96,3584.80,663
1738594012,3609.96,3584.80,663
1738594069,3609.96,3584.80,663
1738594139,3609.96,3584.80,663
1738594182,3609.96,3584.80,663
1738594255,3609.96,3584.80,663
1738594316,3609.96,3584.80,663
1738594374,3609.96,3584.80,663
1738594435,3609.96,3584.80,663
1738594499,3609.87,3579.90,665
1738594559,3609.87,3579.90,665
1738594612,3609.87,3579.90,665
1738594678,3608.66,3579.90,693
1738594730,3608.66,3579.90,693
1738594785,3608.66,3579.90,693
1738594856,3608.63,3584.95,694
1738594917,3608.63,3584.95,694
1738594979,3608.63,3584.95,694
1738595039,3608.63,3584.95,694
1738595093,3608.63,3584.95,694
1738595159,3608.63,3584.95,694
1738595218,3608.63,3584.95,694
1738595270,3608.63,3584.95,694
1738595339,3608.63,3584.95,694
1738595398,3608.39,3571.55,700
1738595456,3608.39,3571.55,700
1738595517,3608.39,3571.55,700
1738595573,3608.39,3571.55,700
1738595638,3608.39,3571.55,700
1738595699,3606.92,3567.75,727
1738595755,3606.92,3567.75,727
1738595815,3606.92,3567.75,727
1738595877,3606.92,3567.75,727
1738595898,3606.92,3567.75,727
1738595991,3606.92,3567.75,727
1738596059,3606.92,3567.75,727
1738596110,3606.92,3567.75,727
1738596177,3606.92,3567.75,727
1738596238,3606.33,3573.35,740
1738596296,3606.00,3578.70,749
1738596358,3606.00,3578.70,749
1738596411,3606.00,3578.70,749
1738596477,3606.00,3578.70,749
1738596512,3605.89,3566.25,751
1738596594,3605.82,3578.70,753
1738596602,3605.82,3578.70,753
1738596676,3605.82,3578.70,753
1738597240,3605.82,3578.70,753
1738597665,3605.82,3578.70,753
1738598401,3605.82,3578.70,753
1738598487,3605.82,3578.70,753
