t,ap,cp,v
1738573635,334.95,334.95,26
1738573740,334.95,334.95,26
1738574159,334.19,335.90,200
1738574219,334.19,335.90,200
1738574279,334.87,335.85,332
1738574339,334.87,335.85,332
1738574399,334.90,335.40,352
1738574457,335.05,335.40,643
1738574514,335.05,335.05,659
1738574578,335.05,335.05,659
1738574639,335.18,335.00,788
1738574699,335.22,335.75,901
1738574757,335.23,335.75,922
1738574819,335.59,340.45,1003
1738574879,335.59,340.45,1003
1738574939,335.78,340.05,1047
1738574999,335.78,340.05,1047
1738575059,335.79,341.05,1049
1738575119,335.95,340.40,1084
1738575178,335.95,340.40,1084
1738575238,336.35,339.45,1207
1738575299,336.37,339.55,1217
1738575358,336.43,339.95,1237
1738575419,337.11,340.00,1547
1738575479,337.12,340.20,1554
1738575539,337.16,339.45,1584
1738575599,337.30,339.45,1684
1738575659,337.32,339.70,1698
1738575718,337.32,339.70,1698
1738575779,337.35,340.15,1719
1738575839,337.35,340.15,1719
1738575899,339.22,344.30,3261
1738575959,339.58,341.85,3650
1738576019,339.59,341.70,3656
1738576079,339.60,341.85,3675
1738576139,339.65,341.15,3784
1738576199,339.65,341.15,3785
1738576257,339.65,341.15,3785
1738576319,339.75,341.45,4027
1738576379,339.75,340.60,4043
1738576439,339.75,340.35,4081
1738576499,339.75,340.35,4081
1738576559,339.69,339.05,4581
1738576618,339.69,339.70,4591
1738576678,339.69,339.70,4591
1738576739,339.69,339.70,4591
1738576799,339.70,340.15,4671
1738576859,339.70,340.15,4671
1738576919,339.70,340.00,4690
1738576979,339.70,339.00,4724
1738577038,339.69,339.10,4726
1738577099,339.69,339.10,4726
1738577159,339.69,339.10,4726
1738577218,339.69,339.10,4726
1738577279,339.62,338.05,4967
1738577339,339.58,338.25,5097
1738577399,339.57,338.90,5197
1738577459,339.55,338.75,5351
1738577519,339.53,338.95,5503
1738577579,339.53,338.95,5503
1738577639,339.53,338.95,5503
1738577697,339.52,338.55,5543
1738577757,339.51,337.90,5582
1738577819,339.35,337.50,6112
1738577876,339.35,337.50,6112
1738577931,339.35,338.45,6125
1738577998,339.27,337.80,6485
1738578056,339.26,338.30,6525
1738578119,339.25,338.95,6628
1738578175,339.24,338.05,6696
1738578239,339.21,338.60,6860
1738578299,339.21,338.60,6860
1738578357,339.21,338.60,6860
1738578419,339.20,337.95,6915
1738578478,339.20,337.95,6915
1738578539,339.20,337.10,6918
1738578599,339.19,336.45,6944
1738578658,339.19,337.25,6956
1738578718,339.19,337.25,6956
1738578779,339.17,337.05,7021
1738578834,339.17,337.05,7021
1738578899,339.17,337.65,7031
1738578959,339.16,338.10,7052
1738579018,339.16,338.10,7052
1738579079,339.16,338.10,7052
1738579138,339.16,338.10,7052
1738579196,339.16,338.10,7052
1738579259,339.16,338.10,7052
1738579318,339.16,338.10,7052
1738579378,339.15,338.05,7127
1738579439,338.71,337.25,11127
1738579499,338.70,338.35,11396
1738579559,338.70,338.55,11441
1738579619,338.70,338.05,11490
1738579677,338.70,338.50,11555
1738579738,338.70,338.50,11555
1738579796,338.70,338.50,11555
1738579857,338.70,338.50,11555
1738579913,338.70,338.50,11555
1738579978,338.70,338.50,11555
1738580021,338.70,338.50,11565
1738580095,338.70,338.25,11586
1738580159,338.70,337.85,11626
1738580219,338.70,337.85,11626
1738580279,338.70,337.85,11626
1738580339,338.70,337.85,11626
1738580399,338.69,337.45,11659
1738580458,338.70,339.30,11805
1738580518,338.70,339.15,11818
1738580579,338.74,340.30,12278
1738580639,338.74,340.30,12278
1738580699,338.74,340.30,12278
1738580759,338.74,339.85,12288
1738580818,338.74,339.85,12288
1738580875,338.74,339.85,12288
1738580937,338.76,340.75,12496
1738580998,338.76,340.75,12496
1738581053,338.76,340.05,12500
1738581119,338.77,340.00,12600
1738581177,338.77,340.00,12600
1738581238,338.77,340.85,12601
1738581299,338.77,340.85,12601
1738581352,338.77,340.85,12601
1738581418,338.77,340.85,12601
1738581479,338.79,340.45,12701
1738581537,338.79,340.45,12701
1738581599,338.79,340.45,12701
1738581654,338.79,340.60,12702
1738581717,338.79,340.60,12702
1738581779,338.79,340.00,12706
1738581839,338.79,340.00,12706
1738581897,338.79,340.00,12706
1738581959,338.79,340.00,12706
1738582019,338.79,340.00,12706
1738582075,338.79,340.00,12706
1738582122,338.79,340.00,12706
1738582197,338.79,340.00,12706
1738582258,338.79,340.00,12706
1738582317,338.79,340.25,12722
1738582379,338.79,340.25,12722
1738582439,338.82,340.95,12894
1738582499,338.83,340.05,12994
1738582559,338.83,340.05,12994
1738582619,338.83,340.05,12994
1738582677,338.85,339.65,13165
1738582735,338.85,339.65,13165
1738582799,338.85,338.85,13236
1738582859,338.85,338.85,13236
1738582919,338.85,338.85,13236
1738582979,338.85,338.85,13236
1738583039,338.85,338.85,13236
1738583099,338.85,338.70,13251
1738583159,338.85,338.70,13251
1738583215,338.83,337.25,13376
1738583278,338.83,337.25,13376
1738583337,338.83,337.25,13376
1738583398,338.83,337.25,13383
1738583458,338.83,337.25,13383
1738583518,338.83,337.25,13393
1738583579,338.83,337.10,13439
1738583638,338.82,337.00,13450
1738583699,338.82,336.45,13451
1738583759,338.82,336.45,13451
1738583819,338.80,338.10,13779
1738583879,338.79,338.25,13825
1738583939,338.79,338.25,13825
1738583995,338.79,338.25,13825
1738584057,338.79,338.25,13825
1738584119,338.79,338.25,13825
1738584179,338.79,338.25,13825
1738584239,338.79,338.25,13825
1738584299,338.79,338.25,13825
1738584357,338.79,338.25,13825
1738584419,338.79,338.25,13825
1738584476,338.79,338.55,13835
1738584539,338.79,338.55,13835
1738584594,338.79,338.55,13835
1738584659,338.78,337.85,14063
1738584719,338.78,337.85,14063
1738584775,338.78,338.40,14073
1738584837,338.71,337.65,15123
1738584898,338.71,337.65,15123
1738584955,338.71,337.65,15123
1738585017,338.71,338.30,15133
1738585079,338.71,338.30,15133
1738585139,338.71,338.30,15133
1738585199,338.71,339.05,15134
1738585259,338.67,337.80,16145
1738585319,338.67,337.80,16145
1738585379,338.67,338.30,16170
1738585439,338.67,338.50,16189
1738585498,338.67,337.25,16291
1738585559,338.67,337.70,16307
1738585613,338.67,337.70,16307
1738585677,338.67,337.70,16307
1738585739,338.67,337.70,16307
1738585799,338.67,337.70,16307
1738585859,338.67,337.70,16307
1738585919,338.67,337.70,16307
1738585969,338.67,337.70,16307
1738586039,338.66,337.05,16384
1738586099,338.66,337.05,16384
1738586158,338.66,337.05,16384
1738586213,338.66,337.05,16400
1738586273,338.66,337.05,16415
1738586339,338.66,337.05,16415
1738586395,338.66,337.05,16415
1738586459,338.66,337.05,16415
1738586519,338.66,337.05,16415
1738586577,338.66,337.05,16415
1738586637,338.66,336.45,16416
1738586698,338.66,336.45,16416
1738586752,338.65,336.25,16438
1738586816,338.65,336.25,16438
1738586864,338.65,336.25,16438
1738586932,338.65,336.25,16438
1738586999,338.65,336.45,16450
1738587057,338.65,336.45,16464
1738587119,338.65,336.45,16464
1738587177,338.65,336.45,16464
1738587237,338.65,336.45,16464
1738587298,338.65,336.45,16473
1738587359,338.65,336.65,16485
1738587419,338.65,336.65,16485
1738587465,338.65,336.65,16485
1738587533,338.65,336.65,16485
1738587599,338.65,336.65,16485
1738587658,338.64,337.00,16571
1738587717,338.64,337.00,16571
1738587779,338.64,337.00,16571
1738587839,338.64,337.00,16571
1738587895,338.63,337.45,16621
1738587953,338.63,337.85,16623
1738588019,338.63,337.90,16628
1738588079,338.63,337.90,16628
1738588138,338.63,337.90,16628
1738588199,338.63,338.15,16804
1738588259,338.63,338.15,16804
1738588319,338.63,338.15,16804
1738588374,338.69,339.50,18804
1738588439,338.69,339.50,18804
1738588499,338.69,339.50,18804
1738588559,338.69,339.50,18804
1738588619,338.69,338.15,18820
1738588677,338.69,338.15,18820
1738588735,338.69,338.15,18820
1738588798,338.69,338.15,18820
1738588859,338.69,338.15,18820
1738588918,338.69,338.15,18820
1738588979,338.68,338.70,19175
1738589039,338.69,339.50,19232
1738589099,338.69,339.50,19242
1738589159,338.69,339.50,19242
1738589219,338.69,339.50,19242
1738589279,338.71,338.90,20242
1738589339,338.71,338.55,21242
1738589399,338.71,338.90,21269
1738589458,338.71,338.90,21269
1738589519,338.71,338.90,21269
1738589576,338.71,338.90,21269
1738589630,338.71,338.90,21269
1738589698,338.71,338.90,21269
1738589759,338.71,338.90,21269
1738589818,338.71,338.90,21269
1738589878,338.71,338.90,21270
1738589938,338.71,338.90,21270
1738589997,338.72,339.15,21551
1738590056,338.72,339.15,21551
1738590119,338.72,340.00,21571
1738590179,338.72,339.45,21614
1738590238,338.72,339.45,21614
1738590299,338.72,339.45,21614
1738590358,338.72,339.45,21614
1738590419,338.72,339.45,21614
1738590479,338.72,339.45,21614
1738590536,338.72,339.45,21614
1738590599,338.72,339.45,21614
1738590657,338.72,339.95,21615
1738590719,338.72,340.00,21648
1738590779,338.72,340.00,21648
1738590839,338.72,340.00,21648
1738590899,338.72,337.75,21720
1738590957,338.72,337.75,21720
1738591014,338.72,337.75,21720
1738591078,338.71,337.75,21780
1738591139,338.71,337.75,21780
1738591199,338.71,337.75,21780
1738591259,338.71,337.75,21780
1738591319,338.71,337.75,21785
1738591376,338.71,337.75,21785
1738591438,338.71,337.30,21795
1738591493,338.71,337.45,21796
1738591559,338.71,337.45,21796
1738591614,338.71,337.45,21796
1738591678,338.71,337.45,21796
1738591735,338.71,337.45,21796
1738591799,338.71,337.25,21856
1738591857,338.71,337.45,21882
1738591919,338.71,337.45,21882
1738591977,338.71,337.45,21882
1738592038,338.71,337.45,21882
1738592099,338.71,337.45,21882
1738592159,338.71,337.45,21882
1738592219,338.71,337.00,21897
1738592279,338.71,337.00,21897
1738592339,338.71,336.00,21898
1738592391,338.71,335.90,21901
1738592457,338.70,335.25,21948
1738592519,338.70,335.25,21948
1738592579,338.70,335.25,21948
1738592638,338.70,335.25,21948
1738592699,338.70,335.05,21963
1738592759,338.70,335.05,21963
1738592811,338.70,335.05,21963
1738592879,338.69,335.75,22003
1738592937,338.69,335.75,22003
1738592997,338.68,335.95,22091
1738593058,338.68,335.85,22104
1738593118,338.68,335.55,22119
1738593178,338.66,335.45,22280
1738593239,338.65,335.05,22329
1738593299,338.65,335.05,22329
1738593358,338.65,335.05,22329
1738593419,338.65,335.05,22329
1738593479,338.65,335.95,22361
1738593539,338.64,336.15,22392
1738593599,338.64,336.15,22392
1738593659,338.64,336.15,22392
1738593719,338.64,335.95,22403
1738593778,338.64,335.95,22403
1738593836,338.64,335.70,22404
1738593898,338.63,335.90,22453
1738593959,338.63,335.90,22453
1738594019,338.63,335.90,22453
1738594078,338.63,335.90,22453
1738594139,338.63,335.90,22453
1738594198,338.63,335.90,22453
1738594259,338.63,335.90,22453
1738594319,338.63,335.90,22453
1738594376,338.61,335.95,22633
1738594437,338.61,335.95,22633
1738594496,338.61,335.95,22633
1738594559,338.61,336.85,22682
1738594619,338.61,336.85,22682
1738594679,338.60,336.60,22762
1738594739,338.60,336.75,22809
1738594799,338.58,337.55,23013
1738594858,338.58,337.55,23013
1738594919,338.58,338.05,23023
1738594978,338.58,338.05,23043
1738595038,338.58,338.05,23043
1738595094,338.58,338.05,23043
1738595159,338.58,338.05,23043
1738595219,338.58,338.05,23043
1738595279,338.59,339.15,23106
1738595338,338.59,339.90,23115
1738595399,338.59,339.90,23115
1738595459,338.59,339.90,23115
1738595518,338.59,339.40,23167
1738595578,338.59,339.40,23167
1738595638,338.59,339.40,23167
1738595699,338.59,339.45,23173
1738595758,338.61,339.05,25438
1738595819,338.61,339.05,25438
1738595878,338.61,337.50,25560
1738595937,338.60,337.75,25564
1738595998,338.60,338.00,25595
1738596058,338.60,338.00,25595
1738596119,338.60,338.45,25635
1738596178,338.60,338.45,25635
1738596239,338.61,339.75,25715
1738596299,338.61,339.15,25768
1738596358,338.61,339.15,25768
1738596418,338.61,339.15,25768
1738596475,338.61,339.35,25777
1738596539,338.61,339.30,25778
1738596599,338.61,340.35,25801
1738596607,338.61,340.35,25801
1738596680,338.61,340.35,25801
1738596827,338.61,340.35,25801
1738597251,338.61,340.35,25801
1738597432,338.61,340.35,25801
1738597601,338.61,340.35,25801
1738598402,338.61,340.35,25801
1738598485,338.61,340.35,25801
t,ap,cp,v
1738573635,334.95,334.95,26
1738573740,334.95,334.95,26
1738574159,334.19,335.90,200
1738574219,334.19,335.90,200
1738574279,334.87,335.85,332
1738574339,334.87,335.85,332
1738574399,334.90,335.40,352
1738574457,335.05,335.40,643
1738574514,335.05,335.05,659
1738574578,335.05,335.05,659
1738574639,335.18,335.00,788
1738574699,335.22,335.75,901
1738574757,335.23,335.75,922
1738574819,335.59,340.45,1003
1738574879,335.59,340.45,1003
1738574939,335.78,340.05,1047
1738574999,335.78,340.05,1047
1738575059,335.79,341.05,1049
1738575119,335.95,340.40,1084
1738575178,335.95,340.40,1084
1738575238,336.35,339.45,1207
1738575299,336.37,339.55,1217
1738575358,336.43,339.95,1237
1738575419,337.11,340.00,1547
1738575479,337.12,340.20,1554
1738575539,337.16,339.45,1584
1738575599,337.30,339.45,1684
1738575659,337.32,339.70,1698
1738575718,337.32,339.70,1698
1738575779,337.35,340.15,1719
1738575839,337.35,340.15,1719
1738575899,339.22,344.30,3261
1738575959,339.58,341.85,3650
1738576019,339.59,341.70,3656
1738576079,339.60,341.85,3675
1738576139,339.65,341.15,3784
1738576199,339.65,341.15,3785
1738576257,339.65,341.15,3785
1738576319,339.75,341.45,4027
1738576379,339.75,340.60,4043
1738576439,339.75,340.35,4081
1738576499,339.75,340.35,4081
1738576559,339.69,339.05,4581
1738576618,339.69,339.70,4591
1738576678,339.69,339.70,4591
1738576739,339.69,339.70,4591
1738576799,339.70,340.15,4671
1738576859,339.70,340.15,4671
1738576919,339.70,340.00,4690
1738576979,339.70,339.00,4724
1738577038,339.69,339.10,4726
1738577099,339.69,339.10,4726
1738577159,339.69,339.10,4726
1738577218,339.69,339.10,4726
1738577279,339.62,338.05,4967
1738577339,339.58,338.25,5097
1738577399,339.57,338.90,5197
1738577459,339.55,338.75,5351
1738577519,339.53,338.95,5503
1738577579,339.53,338.95,5503
1738577639,339.53,338.95,5503
1738577697,339.52,338.55,5543
1738577757,339.51,337.90,5582
1738577819,339.35,337.50,6112
1738577876,339.35,337.50,6112
1738577931,339.35,338.45,6125
1738577998,339.27,337.80,6485
1738578056,339.26,338.30,6525
1738578119,339.25,338.95,6628
1738578175,339.24,338.05,6696
1738578239,339.21,338.60,6860
1738578299,339.21,338.60,6860
1738578357,339.21,338.60,6860
1738578419,339.20,337.95,6915
1738578478,339.20,337.95,6915
1738578539,339.20,337.10,6918
1738578599,339.19,336.45,6944
1738578658,339.19,337.25,6956
1738578718,339.19,337.25,6956
1738578779,339.17,337.05,7021
1738578834,339.17,337.05,7021
1738578899,339.17,337.65,7031
1738578959,339.16,338.10,7052
1738579018,339.16,338.10,7052
1738579079,339.16,338.10,7052
1738579138,339.16,338.10,7052
1738579196,339.16,338.10,7052
1738579259,339.16,338.10,7052
1738579318,339.16,338.10,7052
1738579378,339.15,338.05,7127
1738579439,338.71,337.25,11127
1738579499,338.70,338.35,11396
1738579559,338.70,338.55,11441
1738579619,338.70,338.05,11490
1738579677,338.70,338.50,11555
1738579738,338.70,338.50,11555
1738579796,338.70,338.50,11555
1738579857,338.70,338.50,11555
1738579913,338.70,338.50,11555
1738579978,338.70,338.50,11555
1738580021,338.70,338.50,11565
1738580095,338.70,338.25,11586
1738580159,338.70,337.85,11626
1738580219,338.70,337.85,11626
1738580279,338.70,337.85,11626
1738580339,338.70,337.85,11626
1738580399,338.69,337.45,11659
1738580458,338.70,339.30,11805
1738580518,338.70,339.15,11818
1738580579,338.74,340.30,12278
1738580639,338.74,340.30,12278
1738580699,338.74,340.30,12278
1738580759,338.74,339.85,12288
1738580818,338.74,339.85,12288
1738580875,338.74,339.85,12288
1738580937,338.76,340.75,12496
1738580998,338.76,340.75,12496
1738581053,338.76,340.05,12500
1738581119,338.77,340.00,12600
1738581177,338.77,340.00,12600
1738581238,338.77,340.85,12601
1738581299,338.77,340.85,12601
1738581352,338.77,340.85,12601
1738581418,338.77,340.85,12601
1738581479,338.79,340.45,12701
1738581537,338.79,340.45,12701
1738581599,338.79,340.45,12701
1738581654,338.79,340.60,12702
1738581717,338.79,340.60,12702
1738581779,338.79,340.00,12706
1738581839,338.79,340.00,12706
1738581897,338.79,340.00,12706
1738581959,338.79,340.00,12706
1738582019,338.79,340.00,12706
1738582075,338.79,340.00,12706
1738582122,338.79,340.00,12706
1738582197,338.79,340.00,12706
1738582258,338.79,340.00,12706
1738582317,338.79,340.25,12722
1738582379,338.79,340.25,12722
1738582439,338.82,340.95,12894
1738582499,338.83,340.05,12994
1738582559,338.83,340.05,12994
1738582619,338.83,340.05,12994
1738582677,338.85,339.65,13165
1738582735,338.85,339.65,13165
1738582799,338.85,338.85,13236
1738582859,338.85,338.85,13236
1738582919,338.85,338.85,13236
1738582979,338.85,338.85,13236
1738583039,338.85,338.85,13236
1738583099,338.85,338.70,13251
1738583159,338.85,338.70,13251
1738583215,338.83,337.25,13376
1738583278,338.83,337.25,13376
1738583337,338.83,337.25,13376
1738583398,338.83,337.25,13383
1738583458,338.83,337.25,13383
1738583518,338.83,337.25,13393
1738583579,338.83,337.10,13439
1738583638,338.82,337.00,13450
1738583699,338.82,336.45,13451
1738583759,338.82,336.45,13451
1738583819,338.80,338.10,13779
1738583879,338.79,338.25,13825
1738583939,338.79,338.25,13825
1738583995,338.79,338.25,13825
1738584057,338.79,338.25,13825
1738584119,338.79,338.25,13825
1738584179,338.79,338.25,13825
1738584239,338.79,338.25,13825
1738584299,338.79,338.25,13825
1738584357,338.79,338.25,13825
1738584419,338.79,338.25,13825
1738584476,338.79,338.55,13835
1738584539,338.79,338.55,13835
1738584594,338.79,338.55,13835
1738584659,338.78,337.85,14063
1738584719,338.78,337.85,14063
1738584775,338.78,338.40,14073
1738584837,338.71,337.65,15123
1738584898,338.71,337.65,15123
1738584955,338.71,337.65,15123
1738585017,338.71,338.30,15133
1738585079,338.71,338.30,15133
1738585139,338.71,338.30,15133
1738585199,338.71,339.05,15134
1738585259,338.67,337.80,16145
1738585319,338.67,337.80,16145
1738585379,338.67,338.30,16170
1738585439,338.67,338.50,16189
1738585498,338.67,337.25,16291
1738585559,338.67,337.70,16307
1738585613,338.67,337.70,16307
1738585677,338.67,337.70,16307
1738585739,338.67,337.70,16307
1738585799,338.67,337.70,16307
1738585859,338.67,337.70,16307
1738585919,338.67,337.70,16307
1738585969,338.67,337.70,16307
1738586039,338.66,337.05,16384
1738586099,338.66,337.05,16384
1738586158,338.66,337.05,16384
1738586213,338.66,337.05,16400
1738586273,338.66,337.05,16415
1738586339,338.66,337.05,16415
1738586395,338.66,337.05,16415
1738586459,338.66,337.05,16415
1738586519,338.66,337.05,16415
1738586577,338.66,337.05,16415
1738586637,338.66,336.45,16416
1738586698,338.66,336.45,16416
1738586752,338.65,336.25,16438
1738586816,338.65,336.25,16438
1738586864,338.65,336.25,16438
1738586932,338.65,336.25,16438
1738586999,338.65,336.45,16450
1738587057,338.65,336.45,16464
1738587119,338.65,336.45,16464
1738587177,338.65,336.45,16464
1738587237,338.65,336.45,16464
1738587298,338.65,336.45,16473
1738587359,338.65,336.65,16485
1738587419,338.65,336.65,16485
1738587465,338.65,336.65,16485
1738587533,338.65,336.65,16485
1738587599,338.65,336.65,16485
1738587658,338.64,337.00,16571
1738587717,338.64,337.00,16571
1738587779,338.64,337.00,16571
1738587839,338.64,337.00,16571
1738587895,338.63,337.45,16621
1738587953,338.63,337.85,16623
1738588019,338.63,337.90,16628
1738588079,338.63,337.90,16628
1738588138,338.63,337.90,16628
1738588199,338.63,338.15,16804
1738588259,338.63,338.15,16804
1738588319,338.63,338.15,16804
1738588374,338.69,339.50,18804
1738588439,338.69,339.50,18804
1738588499,338.69,339.50,18804
1738588559,338.69,339.50,18804
1738588619,338.69,338.15,18820
1738588677,338.69,338.15,18820
1738588735,338.69,338.15,18820
1738588798,338.69,338.15,18820
1738588859,338.69,338.15,18820
1738588918,338.69,338.15,18820
1738588979,338.68,338.70,19175
1738589039,338.69,339.50,19232
1738589099,338.69,339.50,19242
1738589159,338.69,339.50,19242
1738589219,338.69,339.50,19242
1738589279,338.71,338.90,20242
1738589339,338.71,338.55,21242
1738589399,338.71,338.90,21269
1738589458,338.71,338.90,21269
1738589519,338.71,338.90,21269
1738589576,338.71,338.90,21269
1738589630,338.71,338.90,21269
1738589698,338.71,338.90,21269
1738589759,338.71,338.90,21269
1738589818,338.71,338.90,21269
1738589878,338.71,338.90,21270
1738589938,338.71,338.90,21270
1738589997,338.72,339.15,21551
1738590056,338.72,339.15,21551
1738590119,338.72,340.00,21571
1738590179,338.72,339.45,21614
1738590238,338.72,339.45,21614
1738590299,338.72,339.45,21614
1738590358,338.72,339.45,21614
1738590419,338.72,339.45,21614
1738590479,338.72,339.45,21614
1738590536,338.72,339.45,21614
1738590599,338.72,339.45,21614
1738590657,338.72,339.95,21615
1738590719,338.72,340.00,21648
1738590779,338.72,340.00,21648
1738590839,338.72,340.00,21648
1738590899,338.72,337.75,21720
1738590957,338.72,337.75,21720
1738591014,338.72,337.75,21720
1738591078,338.71,337.75,21780
1738591139,338.71,337.75,21780
1738591199,338.71,337.75,21780
1738591259,338.71,337.75,21780
1738591319,338.71,337.75,21785
1738591376,338.71,337.75,21785
1738591438,338.71,337.30,21795
1738591493,338.71,337.45,21796
1738591559,338.71,337.45,21796
1738591614,338.71,337.45,21796
1738591678,338.71,337.45,21796
1738591735,338.71,337.45,21796
1738591799,338.71,337.25,21856
1738591857,338.71,337.45,21882
1738591919,338.71,337.45,21882
1738591977,338.71,337.45,21882
1738592038,338.71,337.45,21882
1738592099,338.71,337.45,21882
1738592159,338.71,337.45,21882
1738592219,338.71,337.00,21897
1738592279,338.71,337.00,21897
1738592339,338.71,336.00,21898
